ref	UNIQ_count	unUNIQ_count
>AB073846|B|3215	477	2714
>M32138|D|3182	1182	1976
>X65259|D|3182	896	2262
>X85254|D|3182	1240	1918
>AF090842|A|3221	1369	1828
>AB036910|F|3215	1081	2110
>X04615|C|3215	904	2287
>AY090460|H|3215	958	2233
>X75657|E|3212	542	2646
>AY090454|H|3215	373	2818
>AB014381|C|3215	948	2243
>X69798|F|3215	1213	1978
>AB602818|B|3215	464	2727
>AY090457|H|3215	344	2847
>D00329|B|3215	626	2565
>X51970|A|3221	750	2447
>AF405706|G|3248	25	3199
>X02763|A|3221	753	2444
>AF223965|F|3215	1137	2054
>AB064310|G|3248	86	3138
>AF160501|G|3248	75	3149
>AB032431|E|3212	540	2648
